tickerID,fiscalQ,revenue,quarter,year,fiscalQ1,company_name,exchange,symbol
AMEX:SRCI,FQ42013,13.412,4,2013,2013Q4,NA,NA,NA
AMEX:SRCI,FQ12014,17.25,1,2014,2014Q1,NA,NA,NA
AMEX:SRCI,FQ22014,20.773,2,2014,2014Q2,NA,NA,NA
AMEX:SRCI,FQ32014,23.296,3,2014,2014Q3,NA,NA,NA
AMEX:SRCI,FQ42014,42.9,4,2014,2014Q4,NA,NA,NA
AMEX:SRCI,FQ12015,17.131,1,2015,2015Q1,NA,NA,NA
AMEX:SRCI,FQ22015,25.707,2,2015,2015Q2,NA,NA,NA
AMEX:SRCI,FQ32015,30.279,3,2015,2015Q3,NA,NA,NA
AMEX:SRCI,FQ42015,19.985,4,2015,2015Q4,NA,NA,NA
AMEX:SRCI,FQ12016,16.44,1,2016,2016Q1,NA,NA,NA
AMEX:SRCI,FQ22016,23.271,2,2016,2016Q2,NA,NA,NA
AMEX:SRCI,FQ32016,26.234,3,2016,2016Q3,NA,NA,NA
AMEX:SRCI,FQ42016,35.472,4,2016,2016Q4,NA,NA,NA
AMEX:SRCI,FQ12017,43.592,1,2017,2017Q1,NA,NA,NA
AMEX:STRP,FQ12013,0.468,1,2013,2013Q1,NA,NA,NA
AMEX:STRP,FQ22013,0.229,2,2013,2013Q2,NA,NA,NA
AMEX:STRP,FQ32013,0.285,3,2013,2013Q3,NA,NA,NA
AMEX:STRP,FQ42013,0.148,4,2013,2013Q4,NA,NA,NA
AMEX:STRP,FQ12014,0.127,1,2014,2014Q1,NA,NA,NA
AMEX:STRP,FQ22014,0.453,2,2014,2014Q2,NA,NA,NA
AMEX:STRP,FQ32014,0.913,3,2014,2014Q3,NA,NA,NA
AMEX:STRP,FQ42014,3.303,4,2014,2014Q4,NA,NA,NA
AMEX:STRP,FQ12015,4.823,1,2015,2015Q1,NA,NA,NA
AMEX:STRP,FQ22015,2.781,2,2015,2015Q2,NA,NA,NA
AMEX:STRP,FQ32015,2.867,3,2015,2015Q3,NA,NA,NA
AMEX:STRP,FQ42015,2.769,4,2015,2015Q4,NA,NA,NA
AMEX:STRP,FQ12016,1.703,1,2016,2016Q1,NA,NA,NA
AMEX:STRP,FQ22016,0.112,2,2016,2016Q2,NA,NA,NA
AMEX:STRP,FQ32016,0.219,3,2016,2016Q3,NA,NA,NA
AMEX:STRP,FQ42016,0.122,4,2016,2016Q4,NA,NA,NA
AMEX:STRP,FQ12017,0.159,1,2017,2017Q1,NA,NA,NA
AMEX:STRP,FQ22017,0.165,2,2017,2017Q2,NA,NA,NA
AMEX:STRP,FQ32017,0.167,3,2017,2017Q3,NA,NA,NA
AMEX:TMP,FQ12013,17.39,1,2013,2013Q1,NA,NA,NA
AMEX:TMP,FQ22013,16.541,2,2013,2013Q2,NA,NA,NA
AMEX:TMP,FQ32013,17.118,3,2013,2013Q3,NA,NA,NA
AMEX:TMP,FQ42013,16.154,4,2013,2013Q4,NA,NA,NA
AMEX:TMP,FQ12014,17.434,1,2014,2014Q1,NA,NA,NA
AMEX:TMP,FQ22014,17.72,2,2014,2014Q2,NA,NA,NA
AMEX:TMP,FQ32014,17.555,3,2014,2014Q3,NA,NA,NA
AMEX:TMP,FQ42014,18.056,4,2014,2014Q4,NA,NA,NA
AMEX:TMP,FQ12015,17.646,1,2015,2015Q1,NA,NA,NA
AMEX:TMP,FQ22015,18.962,2,2015,2015Q2,NA,NA,NA
AMEX:TMP,FQ32015,17.422,3,2015,2015Q3,NA,NA,NA
AMEX:TMP,FQ42015,17.91,4,2015,2015Q4,NA,NA,NA
AMEX:TMP,FQ12016,17.503,1,2016,2016Q1,NA,NA,NA
AMEX:TMP,FQ22016,17.084,2,2016,2016Q2,NA,NA,NA
AMEX:TMP,FQ32016,17.905,3,2016,2016Q3,NA,NA,NA
AMEX:TMP,FQ42016,16.316,4,2016,2016Q4,NA,NA,NA
AMEX:TMP,FQ12017,17.24,1,2017,2017Q1,NA,NA,NA
AMEX:TXMD,FQ12013,1.5372,1,2013,2013Q1,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ22013,2.08089,2,2013,2013Q2,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ32013,2.29472,3,2013,2013Q3,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ42013,2.8628,4,2013,2013Q4,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ12014,2.83053,1,2014,2014Q1,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ22014,3.75178,2,2014,2014Q2,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ32014,4.18626,3,2014,2014Q3,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ42014,4.25765,4,2014,2014Q4,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ12015,4.47505,1,2015,2015Q1,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ22015,4.84793,2,2015,2015Q2,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ32015,5.19018,3,2015,2015Q3,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ42015,5.62974,4,2015,2015Q4,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ12016,4.93009,1,2016,2016Q1,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ22016,4.40325,2,2016,2016Q2,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ32016,5.53569,3,2016,2016Q3,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ42016,4.48743,4,2016,2016Q4,"TherapeuticsMD, Inc.",AMEX,TXMD
AMEX:TXMD,FQ12017,3.98546,1,2017,2017Q1,"TherapeuticsMD, Inc.",AMEX,TXMD
NasdaqCM:AMD,FQ12013,1088,1,2013,2013Q1,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ22013,1161,2,2013,2013Q2,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ32013,1461,3,2013,2013Q3,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ42013,1589,4,2013,2013Q4,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ12014,1397,1,2014,2014Q1,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ22014,1441,2,2014,2014Q2,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ32014,1429,3,2014,2014Q3,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ42014,1239,4,2014,2014Q4,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ12015,1030,1,2015,2015Q1,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ22015,942,2,2015,2015Q2,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ32015,1061,3,2015,2015Q3,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ42015,958,4,2015,2015Q4,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ12016,832,1,2016,2016Q1,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ22016,1027,2,2016,2016Q2,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ32016,1307,3,2016,2016Q3,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ42016,1106,4,2016,2016Q4,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AMD,FQ12017,984,1,2017,2017Q1,"Advanced Micro Devices, Inc.",NasdaqCM,AMD
NasdaqCM:AXDX,FQ12013,0.016,1,2013,2013Q1,NA,NA,NA
NasdaqCM:AXDX,FQ22013,0.007,2,2013,2013Q2,NA,NA,NA
NasdaqCM:AXDX,FQ32013,0.013,3,2013,2013Q3,NA,NA,NA
NasdaqCM:AXDX,FQ42013,0.012,4,2013,2013Q4,NA,NA,NA
NasdaqCM:AXDX,FQ12014,0.014,1,2014,2014Q1,NA,NA,NA
NasdaqCM:AXDX,FQ22014,0.013,2,2014,2014Q2,NA,NA,NA
NasdaqCM:AXDX,FQ32014,0.016,3,2014,2014Q3,NA,NA,NA
NasdaqCM:AXDX,FQ42014,0.079,4,2014,2014Q4,NA,NA,NA
NasdaqCM:AXDX,FQ12015,0.014,1,2015,2015Q1,NA,NA,NA
NasdaqCM:AXDX,FQ22015,0.019,2,2015,2015Q2,NA,NA,NA
NasdaqCM:AXDX,FQ32015,0.092,3,2015,2015Q3,NA,NA,NA
NasdaqCM:AXDX,FQ42015,0.022,4,2015,2015Q4,NA,NA,NA
NasdaqCM:AXDX,FQ12016,0.163,1,2016,2016Q1,NA,NA,NA
NasdaqCM:AXDX,FQ22016,0.02,2,2016,2016Q2,NA,NA,NA
NasdaqCM:AXDX,FQ32016,0.024,3,2016,2016Q3,NA,NA,NA
NasdaqCM:AXDX,FQ42016,0.039,4,2016,2016Q4,NA,NA,NA
NasdaqCM:AXDX,FQ12017,0.53,1,2017,2017Q1,NA,NA,NA
NasdaqCM:BNCN,FQ12013,(Invalid Identifier),1,2013,2013Q1,NA,NA,NA
NasdaqCM:BNCN,FQ22013,(Invalid Identifier),2,2013,2013Q2,NA,NA,NA
NasdaqCM:BNCN,FQ32013,(Invalid Identifier),3,2013,2013Q3,NA,NA,NA
NasdaqCM:BNCN,FQ42013,(Invalid Identifier),4,2013,2013Q4,NA,NA,NA
NasdaqCM:BNCN,FQ12014,(Invalid Identifier),1,2014,2014Q1,NA,NA,NA
NasdaqCM:BNCN,FQ22014,(Invalid Identifier),2,2014,2014Q2,NA,NA,NA
NasdaqCM:BNCN,FQ32014,(Invalid Identifier),3,2014,2014Q3,NA,NA,NA
NasdaqCM:BNCN,FQ42014,(Invalid Identifier),4,2014,2014Q4,NA,NA,NA
NasdaqCM:BNCN,FQ12015,(Invalid Identifier),1,2015,2015Q1,NA,NA,NA
NasdaqCM:BNCN,FQ22015,(Invalid Identifier),2,2015,2015Q2,NA,NA,NA
NasdaqCM:BNCN,FQ32015,(Invalid Identifier),3,2015,2015Q3,NA,NA,NA
NasdaqCM:BNCN,FQ42015,(Invalid Identifier),4,2015,2015Q4,NA,NA,NA
NasdaqCM:BNCN,FQ12016,(Invalid Identifier),1,2016,2016Q1,NA,NA,NA
NasdaqCM:BNCN,FQ22016,(Invalid Identifier),2,2016,2016Q2,NA,NA,NA
NasdaqCM:BNCN,FQ32016,(Invalid Identifier),3,2016,2016Q3,NA,NA,NA
NasdaqCM:BNCN,FQ42016,(Invalid Identifier),4,2016,2016Q4,NA,NA,NA
NasdaqCM:BNCN,FQ12017,(Invalid Identifier),1,2017,2017Q1,NA,NA,NA
NasdaqCM:BNCN,FQ22017,(Invalid Identifier),2,2017,2017Q2,NA,NA,NA
NasdaqCM:BNCN,FQ32017,(Invalid Identifier),3,2017,2017Q3,NA,NA,NA
NasdaqCM:BNCN,FQ42017,(Invalid Identifier),4,2017,2017Q4,NA,NA,NA
NasdaqCM:BNCN,FQ12018,(Invalid Identifier),1,2018,2018Q1,NA,NA,NA
NasdaqCM:BNCN,FQ22018,(Invalid Identifier),2,2018,2018Q2,NA,NA,NA
NasdaqCM:BNCN,FQ32018,(Invalid Identifier),3,2018,2018Q3,NA,NA,NA
NasdaqCM:CDEV,FQ12016,15.121,1,2016,2016Q1,NA,NA,NA
NasdaqCM:CDEV,FQ42016,98.833,4,2016,2016Q4,NA,NA,NA
NasdaqCM:CDEV,FQ12017,61.097,1,2017,2017Q1,NA,NA,NA
NasdaqCM:CORT,FQ12013,1.717,1,2013,2013Q1,NA,NA,NA
NasdaqCM:CORT,FQ22013,1.891,2,2013,2013Q2,NA,NA,NA
NasdaqCM:CORT,FQ32013,2.634,3,2013,2013Q3,NA,NA,NA
NasdaqCM:CORT,FQ42013,4.115,4,2013,2013Q4,NA,NA,NA
NasdaqCM:CORT,FQ12014,4.405,1,2014,2014Q1,NA,NA,NA
NasdaqCM:CORT,FQ22014,5.851,2,2014,2014Q2,NA,NA,NA
NasdaqCM:CORT,FQ32014,7.282,3,2014,2014Q3,NA,NA,NA
NasdaqCM:CORT,FQ42014,9.014,4,2014,2014Q4,NA,NA,NA
NasdaqCM:CORT,FQ12015,10.102,1,2015,2015Q1,NA,NA,NA
NasdaqCM:CORT,FQ22015,11.956,2,2015,2015Q2,NA,NA,NA
NasdaqCM:CORT,FQ32015,13.261,3,2015,2015Q3,NA,NA,NA
NasdaqCM:CORT,FQ42015,14.967,4,2015,2015Q4,NA,NA,NA
